disease_id,disease_name
871,MIM602421
872,MIM602426
873,MIM602433
874,MIM602436
875,MIM602441
876,MIM602473
877,MIM602474
878,MIM602481
879,MIM602491
880,MIM602503
881,MIM602541
882,MIM602549
883,MIM602550
884,MIM602567
885,MIM602600
886,MIM602601
887,MIM602615
888,MIM602616
889,MIM602629
890,MIM602630
891,MIM602640
892,MIM602642
893,MIM602643
894,MIM602649
895,MIM602658
896,MIM602669
897,MIM602670
898,MIM602676
899,MIM602695
900,MIM602709
901,MIM602710
902,MIM602711
903,MIM602712
904,MIM602722
905,MIM602729
906,MIM602739
907,MIM602740
908,MIM602741
909,MIM602742
910,MIM602743
911,MIM602746
912,MIM602752
913,MIM602755
914,MIM602760
915,MIM602763
916,MIM602764
917,MIM602765
918,MIM602766
919,MIM602767
920,MIM602777
921,MIM602840
922,MIM602843
923,MIM602844
924,MIM602867
925,MIM602879
926,MIM602890
927,MIM602891
928,MIM602892
929,MIM602893
930,MIM602894
931,MIM602911
932,MIM602929
933,MIM602938
934,MIM602947
935,MIM602972
936,MIM602973
937,MIM602977
938,MIM602980
939,MIM602981
940,MIM602986
941,MIM602987
942,MIM603024
943,MIM603025
944,MIM603075
945,MIM603094
946,MIM603108
947,MIM603112
948,MIM603114
949,MIM603159
950,MIM603184
951,MIM603197
952,MIM603198
953,MIM603203
954,MIM603218
955,MIM603233
956,MIM603251
957,MIM603258
958,MIM603265
959,MIM603277
960,MIM603278
961,MIM603300
962,MIM603309
963,MIM603310
964,MIM603316
965,MIM603352
966,MIM603361
967,MIM603366
968,MIM603368
969,MIM603369
970,MIM603373
971,MIM603379
972,MIM603390
973,MIM603398
974,MIM603399
975,MIM603400
976,MIM603413
977,MIM603419
978,MIM603421
979,MIM603424
980,MIM603426
981,MIM603427
982,MIM603432
983,MIM603444
984,MIM603460
985,MIM603464
986,MIM603473
987,MIM603476
988,MIM603482
989,MIM603483
990,MIM603496
991,MIM603497
992,MIM603499
993,MIM603500
994,MIM603506
995,MIM603507
996,MIM603513
997,MIM603518
998,MIM603519
999,MIM603524
1000,MIM603536
1001,MIM603540
1002,MIM603544
1003,MIM603547
1004,MIM603555
1005,MIM603573
1006,MIM603574
1007,MIM603576
1008,MIM603584
1009,MIM603593
1010,MIM603594
1011,MIM603598
1012,MIM603599
1013,MIM603611
1014,MIM603612
1015,MIM603613
1016,MIM603614
1017,MIM603616
1018,MIM603651
1019,MIM603652
1020,MIM603698
1021,MIM603722
1022,MIM603725
1023,MIM603726
1024,MIM603728
1025,MIM603743
1026,MIM603749
1027,MIM603751
1028,MIM603752
1029,MIM603764
1030,MIM603775
1031,MIM603776
1032,MIM603784
1033,MIM603795
1034,MIM603813
1035,MIM603829
1036,MIM603830
1037,MIM603852
1038,MIM603862
1039,MIM603875
1040,MIM603891
1041,MIM603892
1042,MIM603898
1043,MIM603903
1044,MIM603905
1045,MIM603952
1046,MIM603956
1047,MIM603965
1048,MIM603968
1049,MIM603969
1050,MIM603978
1051,MIM604002
1052,MIM604018
1053,MIM604019
1054,MIM604026
1055,MIM604027
1056,MIM604032
1057,MIM604036
1058,MIM604043
1059,MIM604044
1060,MIM604052
1061,MIM604065
1062,MIM604084
1063,MIM604088
1064,MIM604108
1065,MIM604130
1066,MIM604142
1067,MIM604144
1068,MIM604145
1069,MIM604150
1070,MIM604200
1071,MIM604215
1072,MIM604218
1073,MIM604219
1074,MIM604220
1075,MIM604223
1076,MIM604224
1077,MIM604225
1078,MIM604226
1079,MIM604227
1080,MIM604233
1081,MIM604235
1082,MIM604240
1083,MIM604252
1084,MIM604262
1085,MIM604266
1086,MIM604267
1087,MIM604268
1088,MIM604270
1089,MIM604278
1090,MIM604286
1091,MIM604308
1092,MIM604318
1093,MIM604333
1094,MIM604353
1095,MIM604354
1096,MIM604370
1097,MIM604375
1098,MIM604379
1099,MIM604392
1100,MIM604405
1101,MIM604407
1102,MIM604409
1103,MIM604410
1104,MIM604414
1105,MIM604415
1106,MIM604419
1107,MIM604428
1108,MIM604429
1109,MIM604440
1110,MIM604441
1111,MIM604445
1112,MIM604472
1113,MIM604495
1114,MIM604496
1115,MIM604497
1116,MIM604500
1117,MIM604502
1118,MIM604517
1119,MIM604520
1120,MIM604525
1121,MIM604526
1122,MIM604540
1123,MIM604541
1124,MIM604542
1125,MIM604546
1126,MIM604548
1127,MIM604553
1128,MIM604554
1129,MIM604556
1130,MIM604561
1131,MIM604567
1132,MIM604568
1133,MIM604575
1134,MIM604584
1135,MIM604587
1136,MIM604588
1137,MIM604600
1138,MIM604621
1139,MIM604623
1140,MIM604633
1141,MIM604641
1142,MIM604645
1143,MIM604667
1144,MIM604677
1145,MIM604699
1146,MIM604710
1147,MIM604761
1148,MIM604765
1149,MIM604772
1150,MIM604775
1151,MIM604806
1152,MIM604807
1153,MIM604808
1154,MIM604860
1155,MIM604861
1156,MIM604874
1157,MIM604884
1158,MIM604903
1159,MIM604904
1160,MIM604905
1161,MIM604906
1162,MIM604907
1163,MIM604924
1164,MIM604932
1165,MIM604936
1166,MIM604937
1167,MIM604938
1168,MIM604945
1169,MIM604946
1170,MIM604947
1171,MIM604948
1172,MIM604949
1173,MIM604952
1174,MIM604953
1175,MIM604954
1176,MIM604955
1177,MIM604956
1178,MIM604960
1179,MIM604976
1180,MIM604983
1181,MIM605006
1182,MIM605012
1183,MIM605027
1184,MIM605029
1185,MIM605048
1186,MIM605069
1187,MIM605074
1188,MIM605076
1189,MIM605082
1190,MIM605084
1191,MIM605085
1192,MIM605086
1193,MIM605094
1194,MIM605111
1195,MIM605115
1196,MIM605146
1197,MIM605152
1198,MIM605162
1199,MIM605198
1200,MIM605219
1201,MIM605227
1202,MIM605232
1203,MIM605247
1204,MIM605252
1205,MIM605277
1206,MIM605305
1207,MIM605324
1208,MIM605331
1209,MIM605362
1210,MIM605368
1211,MIM605375
1212,MIM605380
1213,MIM605387
1214,MIM605389
1215,MIM605392
1216,MIM605395
1217,MIM605401
1218,MIM605406
1219,MIM605426
1220,MIM605427
1221,MIM605431
1222,MIM605435
1223,MIM605437
1224,MIM605462
1225,MIM605478
1226,MIM605479
1227,MIM605489
1228,MIM605490
1229,MIM605512
1230,MIM605517
1231,MIM605521
1232,MIM605534
1233,MIM605535
1234,MIM605540
1235,MIM605546
1236,MIM605553
1237,MIM605555
1238,MIM605558
1239,MIM605581
1240,MIM605587
1241,MIM605614
1242,MIM605638
1243,MIM605639
1244,MIM605640
1245,MIM605641
1246,MIM605650
1247,MIM605663
1248,MIM605668
1249,MIM605676
1250,MIM605690
1251,MIM605691
1252,MIM605692
1253,MIM605709
1254,MIM605732
1255,MIM605734
1256,MIM605736
1257,MIM605737
1258,MIM605747
1259,MIM605748
1260,MIM605758
1261,MIM605759
1262,MIM605760
1263,MIM605761
1264,MIM605772
1265,MIM605788
1266,MIM605789
1267,MIM605803
1268,MIM605816
1269,MIM605830
1270,MIM605831
1271,MIM605843
1272,MIM605858
1273,MIM605859
1274,MIM605863
1275,MIM605864
1276,MIM605878
1277,MIM605895
1278,MIM605909
1279,MIM605911
1280,MIM605914
1281,MIM605941
1282,MIM605956
1283,MIM605976
1284,MIM605979
1285,MIM605980
1286,MIM605990
1287,MIM606011
1288,MIM606017
1289,MIM606018
1290,MIM606023
1291,MIM606025
1292,MIM606033
1293,MIM606059
1294,MIM606091
1295,MIM606094
1296,MIM606119
1297,MIM606121
1298,MIM606122
1299,MIM606137
1300,MIM606138
1301,MIM606176
1302,MIM606182
1303,MIM606185
1304,MIM606189
1305,MIM606194
1306,MIM606219
1307,MIM606236
1308,MIM606237
1309,MIM606249
1310,MIM606252
1311,MIM606269
1312,MIM606280
1313,MIM606324
1314,MIM606343
1315,MIM606344
1316,MIM606353
1317,MIM606358
1318,MIM606368
1319,MIM606374
1320,MIM606384
1321,MIM606393
1322,MIM606395
1323,MIM606399
1324,MIM606403
1325,MIM606404
1326,MIM606405
1327,MIM606408
1328,MIM606438
1329,MIM606443
1330,MIM606457
1331,MIM606466
1332,MIM606476
1333,MIM606485
1334,MIM606512
1335,MIM606513
1336,MIM606564
1337,MIM606568
1338,MIM606579
1339,MIM606600
1340,MIM606614
1341,MIM606615
1342,MIM606635
1343,MIM606649
1344,MIM606653
1345,MIM606654
1346,MIM606655
1347,MIM606667
1348,MIM606671
1349,MIM606672
1350,MIM606676
1351,MIM606678
1352,MIM606679
1353,MIM606680
1354,MIM606685
1355,MIM606703
1356,MIM606709
1357,MIM606724
1358,MIM606728
1359,MIM606764
1360,MIM606788
1361,MIM606792
1362,MIM606799
1363,MIM606809
1364,MIM606838
1365,MIM606841
1366,MIM606845
1367,MIM606846
1368,MIM606848
1369,MIM606856
1370,MIM606863
1371,MIM606881
1372,MIM606898
1373,MIM606899
1374,MIM606900
1375,MIM606907
1376,MIM606914
1377,MIM606936
1378,MIM606950
1379,MIM606951
1380,MIM606963
1381,MIM606994
1382,MIM606997
1383,MIM607009
1384,MIM607013
1385,MIM607019
1386,MIM607020
1387,MIM607022
1388,MIM607060
1389,MIM607066
1390,MIM607068
1391,MIM607070
1392,MIM607074
1393,MIM607076
1394,MIM607077
1395,MIM607082
1396,MIM607133
1397,MIM607137
1398,MIM607138
1399,MIM607157
1400,MIM607169
1401,MIM607170
1402,MIM607171
1403,MIM607180
1404,MIM607207
1405,MIM607209
1406,MIM607210
1407,MIM607211
1408,MIM607212
1409,MIM607223
1410,MIM607227
1411,MIM607228
1412,MIM607229
1413,MIM607230
1414,MIM607231
1415,MIM607232
1416,MIM607233
1417,MIM607234
1418,MIM607237
1419,MIM607252
1420,MIM607254
1421,MIM607255
1422,MIM607256
1423,MIM607267
1424,MIM607269
1425,MIM607276
1426,MIM607291
1427,MIM607294
1428,MIM607299
1429,MIM607312
1430,MIM607333
1431,MIM607338
1432,MIM607340
1433,MIM607342
1434,MIM607351
1435,MIM607352
1436,MIM607353
1437,MIM607371
1438,MIM607389
1439,MIM607390
1440,MIM607391
1441,MIM607406
1442,MIM607417
1443,MIM607418
1444,MIM607436
1445,MIM607442
1446,MIM607451
1447,MIM607455
1448,MIM607482
1449,MIM607487
1450,MIM607493
1451,MIM607497
1452,MIM607505
1453,MIM607519
1454,MIM607523
1455,MIM607525
1456,MIM607544
1457,MIM607551
1458,MIM607554
1459,MIM607572
1460,MIM607591
1461,MIM607594
1462,MIM607595
1463,MIM607606
1464,MIM607616
1465,MIM607625
1466,MIM607628
1467,MIM607631
1468,MIM607639
1469,MIM607646
1470,MIM607651
1471,MIM607668
1472,MIM607669
1473,MIM607673
1474,MIM607681
1475,MIM607682
1476,MIM607685
1477,MIM607688
1478,MIM607693
1479,MIM607701
1480,MIM607704
1481,MIM607707
1482,MIM607708
1483,MIM607717
1484,MIM607721
1485,MIM607723
1486,MIM607725
1487,MIM607726
1488,MIM607732
1489,MIM607737
1490,MIM607742
1491,MIM607743
1492,MIM607744
1493,MIM607745
1494,MIM607752
1495,MIM607755
1496,MIM607769
1497,MIM607770
1498,MIM607771
1499,MIM607772
1500,MIM607773
1501,MIM607774
1502,MIM607785
1503,MIM607788
1504,MIM607798
1505,MIM607799
1506,MIM607801
1507,MIM607802
1508,MIM607803
1509,MIM607804
1510,MIM607805
1511,MIM607810
1512,MIM607811
1513,MIM607815
1514,MIM607822
1515,MIM607832
1516,MIM607834
1517,MIM607847
1518,MIM607855
1519,MIM607867
1520,MIM607875
1521,MIM607884
1522,MIM607885
1523,MIM607886
1524,MIM607887
1525,MIM607888
1526,MIM607889
1527,MIM607890
1528,MIM607891
1529,MIM607902
1530,MIM607903
1531,MIM607904
1532,MIM607908
1533,MIM607922
1534,MIM607927
1535,MIM607933
1536,MIM607948
1537,MIM607955
1538,MIM607957
1539,MIM607959
1540,MIM607963
1541,MIM607964
1542,MIM607975
1543,MIM607981
1544,MIM607986
1545,MIM607990
1546,MIM608004
1547,MIM608011
1548,MIM608013
1549,MIM608016
1550,MIM608024
1551,MIM608030
1552,MIM608033
1553,MIM608067
1554,MIM608070
1555,MIM608074
1556,MIM608076
1557,MIM608083
1558,MIM608089
1559,MIM608099
1560,MIM608115
1561,MIM608119
1562,MIM608126
1563,MIM608127
1564,MIM608144
1565,MIM608148
1566,MIM608159
1567,MIM608162
1568,MIM608165
1569,MIM608171
1570,MIM608195
1571,MIM608205
1572,MIM608218
1573,MIM608230
1574,MIM608232
1575,MIM608245
1576,MIM608246
1577,MIM608247
1578,MIM608248
1579,MIM608254
1580,MIM608259
1581,MIM608266
1582,MIM608267
1583,MIM608268
1584,MIM608288
1585,MIM608289
1586,MIM608296
1587,MIM608300
1588,MIM608320
1589,MIM608336
1590,MIM608337
1591,MIM608338
1592,MIM608348
1593,MIM608349
1594,MIM608360
1595,MIM608364
1596,MIM608378
1597,MIM608409
1598,MIM608431
1599,MIM608434
1600,MIM608440
1601,MIM608443
1602,MIM608446
1603,MIM608456
1604,MIM608461
1605,MIM608488
1606,MIM608491
1607,MIM608516
1608,MIM608524
1609,MIM608525
1610,MIM608532
1611,MIM608538
1612,MIM608564
1613,MIM608569
1614,MIM608594
1615,MIM608622
1616,MIM608626
1617,MIM608627
1618,MIM608639
1619,MIM608642
1620,MIM608643
1621,MIM608654
1622,MIM608668
1623,MIM608699
1624,MIM608709
1625,MIM608721
1626,MIM608747
1627,MIM608751
1628,MIM608752
1629,MIM608758
1630,MIM608766
1631,MIM608774
1632,MIM608783
1633,MIM608784
1634,MIM608806
1635,MIM608807
1636,MIM608812
1637,MIM608817
1638,MIM608834
1639,MIM608841
1640,MIM608842
1641,MIM608853
1642,MIM608854
1643,MIM608858
1644,MIM608868
1645,MIM608869
1646,MIM608870
1647,MIM608880
1648,MIM608884
1649,MIM608886
1650,MIM608887
1651,MIM608888
1652,MIM608892
1653,MIM608895
1654,MIM608899
1655,MIM608900
1656,MIM608901
1657,MIM608922
1658,MIM608930
1659,MIM608931
1660,MIM608944
1661,MIM608945
